class,spectrumname,PC1,PC2,PC3
semistress,14deg_plot_1101_0000,-1.6850086960083164,-7.627848573167912,-0.6799239042434734
semistress,14deg_plot_1101_0001,-15.398112037290874,-7.159495239025625,-3.0392456693589054
semistress,14deg_plot_1101_0002,-13.520344381731832,-4.3589584249728865,-3.390780354587119
semistress,14deg_plot_1101_0003,-21.00096677261867,-5.577806879805062,-0.532626851783791
semistress,14deg_plot_1101_0004,-18.254472240098984,0.6449813109959793,0.13971238387019608
semistress,14deg_plot_1102_0000,-16.05348655752824,15.596076206379784,-1.5662195343878458
semistress,14deg_plot_1102_0001,-8.64191815562922,15.133544843924394,-2.669496896584159
semistress,14deg_plot_1102_0002,-12.711276014881767,13.292414976187706,-1.1723860721506885
semistress,14deg_plot_1102_0003,-31.782743160894885,4.037795965511133,-3.156377617468608
semistress,14deg_plot_1103_0000 (2),-31.214111562461007,-1.5264193845924545,-4.719890871147794
semistress,14deg_plot_1103_0000,32.63695319193507,1.2425727093947625,3.6460270805256756
semistress,14deg_plot_1103_0001 (2),-47.019331220909095,-6.876911111259063,-8.130975604573715
semistress,14deg_plot_1103_0001,13.872019333532547,-7.323147059828933,2.215195312529659
semistress,14deg_plot_1103_0002 (2),-27.814701718859954,-0.03323357662963813,-4.568990307314616
semistress,14deg_plot_1103_0002,8.713283256549321,-0.5781634002475311,2.801105625349856
semistress,14deg_plot_1103_0003 (2),-44.92768535233313,-10.718029385354079,0.688033387558044
semistress,14deg_plot_1103_0003,16.80338365741247,0.43046668024875934,4.146766622174969
semistress,14deg_plot_1103_0004 (2),-19.737943521331278,-5.1987270000759604,-5.770044474268975
semistress,14deg_plot_1103_0004,12.34087993066769,-9.951349360512468,6.021508306555655
semistress,14deg_plot_1104_0000,31.961190042092692,5.310817716576882,-10.571981895704587
semistress,14deg_plot_1104_0001,34.44707849776551,5.284664681887705,-10.76977594731148
semistress,14deg_plot_1104_0002,14.540934533224432,13.716783309947132,-11.02112812644398
semistress,14deg_plot_1104_0003,3.3862202725196733,-4.033924476641708,-14.446436861460056
semistress,14deg_plot_1104_0004,19.067326119653636,2.555854565853337,-9.92194405605419
semistress,14deg_plot_1105_0000,-27.0682080752713,-0.4078978300386616,-3.0741636353749753
semistress,14deg_plot_1105_0001,6.459364967512701,0.5018397263541298,-4.13330306775447
semistress,14deg_plot_1105_0002,-28.616763365236075,15.757088399571119,-2.0453720972125735
semistress,14deg_plot_1105_0003,-59.41357353193876,-13.156030673490243,-4.980548185290563
semistress,14deg_plot_1105_0004,-47.11428795630533,-9.955009876415398,-2.4516411679286083
semistress,14deg_plot_1106_0000,-22.099374876708115,-3.4346149863459923,-0.7799198461609209
semistress,14deg_plot_1106_0001,-50.70192534337752,6.583213896800894,-5.286666694521091
semistress,14deg_plot_1106_0002,-61.06917153869842,1.7125479415897094,-6.402693833182639
semistress,14deg_plot_1106_0003,-49.03768557694631,4.824815553435307,-4.699432125182161
semistress,14deg_plot_1106_0004,-54.776252980422655,5.543164060726284,-6.817166145049205
semistress,14deg_plot_1107_0000,-21.918638486990258,8.025444172989937,2.9258954997909647
semistress,14deg_plot_1107_0001,-40.141367738656,2.8697999517032717,2.0223067504240824
semistress,14deg_plot_1107_0002,-42.31674517501598,-3.5036281203342203,-3.2193305252390316
semistress,14deg_plot_1107_0003,-33.29961535211638,-0.1726980023957263,-2.0349547903644316
