spectrumname,PC1,PC2,PC3
1207_mean,-29.12843993,21.18583916,1.249931626
1405_mean,21.17377401,-24.0156867,0.988298474
1508_mean,41.80155856,6.321865724,2.751893928
1810_mean,-41.75461431,34.54082254,4.499443497
1210_mean,-12.53028195,-6.680930866,1.364976417
1310_mean,84.07672248,14.29864646,-2.809557767
1606_mean,34.43920699,29.21849993,1.231348611
1704_mean,-32.46970934,17.41596467,-0.859915397
1108_mean,-37.59236961,-0.941736743,-1.021102294
1304_mean,-28.04848996,-10.46601926,-2.269796863
1601_mean,-37.05683723,-11.33635892,0.133249128
1807_mean,-59.9183752,-5.102675708,-6.115404486
1208_mean,-5.44298641,-24.3857834,0.001336848
1409_mean,35.28730761,-4.93865402,1.466770372
1602_mean,48.90602142,11.12757778,-5.481579163
1706_mean,-0.988031684,7.187825836,-3.712772878
1402_mean,-25.60420615,-32.11620601,6.338167972
1504_mean,51.86150761,12.85064432,3.002929768
1707_mean,-21.57764653,29.7424988,2.581895127
1103_mean,-4.499214943,-6.082870977,-0.990127229
1305_mean,41.65139819,-44.85509265,0.213775569
1502_mean,-2.321053142,-13.50407478,0.968869666
1701_mean,-20.26524048,0.535904825,-3.532630926
