spectrumname,NDWI,MSI,NMDI,WI,WBI
1101_mean,-0.032304065,1.074102343,0.293814136,1.005079816,0.966646167
1102_mean,0.016555702,0.972862046,0.24794433,1.038484014,0.985135377
1103_mean,-0.003846383,1.013859577,0.327956811,1.025551498,0.993945826
1104_mean,-0.046197143,1.105500998,0.340756785,1.005163515,0.982876037
1105_mean,0.006615505,0.993916886,0.276426911,1.036614441,0.985747606
1106_mean,0.029283169,0.948427759,0.231550738,1.046162535,0.988492689
1107_mean,0.025347407,0.954712395,0.263418156,1.036648061,0.982214852
1108_mean,0.011795829,0.982059873,0.253927197,1.03243602,0.989302053
1109_mean,0.053778293,0.902671278,0.203066156,1.064070243,0.984294
1110_mean,0.000277038,1.005653485,0.197854853,1.03264548,1.006788222
1207_mean,0.035174383,0.935411918,0.216700124,1.03578565,1.000282087
1208_mean,-0.03586636,1.082901978,0.415544203,0.995205233,0.982718391
1210_mean,-0.011795757,1.029606735,0.308146908,1.016688495,1.008199772
1304_mean,-0.005320281,1.015923537,0.317421423,1.014881958,1.003824858
1305_mean,-0.075019257,1.17206743,0.649186055,0.973410722,0.976312628
1310_mean,-0.037659361,1.086040196,0.337483493,1.000346266,0.997578711
1401_mean,-0.020859992,1.050126234,0.310823035,1.007587626,0.975026211
1402_mean,-0.022597296,1.052186768,0.396744713,1.001805719,0.980792685
1403_mean,-0.036359521,1.084063089,0.402271355,0.996765811,0.981399083
1404_mean,-0.003478539,1.013809861,0.266419885,1.021285817,0.978635602
1405_mean,-0.045868765,1.104603719,0.437353298,0.994026576,0.979364768
1406_mean,-0.022954518,1.054972041,0.344773588,1.007436239,0.981557092
1407_mean,-0.062058377,1.140935196,0.473633966,0.989719066,0.971200772
1408_mean,-0.057984504,1.133345724,0.319710782,0.994365259,0.958176209
1409_mean,-0.033644427,1.07803473,0.342299964,1.003480659,0.985137145
1410_mean,-0.041479965,1.093837058,0.376439452,1.005039731,0.972528603
1501_mean,-0.045312736,1.103413241,0.397040599,1.001571364,0.976724252
1502_mean,-0.017054493,1.040765682,0.359669839,1.013188111,0.983328235
1503_mean,-0.029434674,1.067920655,0.338107624,1.009910957,0.97050573
1504_mean,-0.026831671,1.063404639,0.294171686,1.008387714,0.984402819
1505_mean,-0.012731274,1.033489142,0.292004914,1.013167083,0.977364301
1506_mean,-0.008376226,1.023762931,0.313697546,1.019762992,0.97105565
1507_mean,-0.053767482,1.123287839,0.402513883,0.995164384,0.973051266
1508_mean,-0.012360426,1.031885219,0.338414001,1.013754396,0.993943207
1510_mean,-0.030582308,1.071571778,0.334409433,1.005720594,0.970532583
1601_mean,-0.002692173,1.011577669,0.279292022,1.02364335,0.987724643
1602_mean,-0.047723535,1.109177735,0.292964222,0.99642951,0.979153749
1603_mean,-0.117519778,1.280020914,0.825802598,0.960362561,0.972048252
1604_mean,-0.06391608,1.147978101,0.308248488,0.996948546,0.980941965
1605_mean,-0.034115085,1.078375413,0.343323364,1.004132427,0.982569087
1606_mean,-0.001827956,1.010271477,0.257813948,1.029744986,1.001843913
1607_mean,-0.084829941,1.196893948,0.531040948,0.976009152,0.974195088
1608_mean,-0.068761133,1.158478166,0.459964884,0.987716454,0.988406287
1609_mean,-0.02948343,1.069252659,0.356261214,1.01540749,0.99626594
1610_mean,-0.026347923,1.061841244,0.34162892,1.010643195,0.978516714
1701_mean,-0.005434648,1.01853161,0.277304962,1.031769102,0.999058695
1702_mean,-0.04652186,1.105709774,0.311328489,1.002989238,0.981680011
1703_mean,0.039275637,0.927308576,0.248648985,1.046354914,0.991394162
1704_mean,0.035418142,0.935680416,0.227599708,1.047828833,1.000161633
1705_mean,0.045664144,0.917298137,0.208965803,1.062419673,1.003893202
1706_mean,-0.01105569,1.030150273,0.278445518,1.023879256,1.001807713
1707_mean,0.040829006,0.926419944,0.208996912,1.052222281,1.003954705
1708_mean,0.065211273,0.881447017,0.193426462,1.074069336,1.001040704
1709_mean,0.003917292,0.998682212,0.26780189,1.033896559,0.995169309
1710_mean,0.098429092,0.824115973,0.188285098,1.09802081,1.016528891
1807_mean,0.016771637,0.971999904,0.247683098,1.024340395,1.000432107
1810_mean,0.072741476,0.86647173,0.188083615,1.069776591,1.006989114
