class,spectrumname,LD1,LD2
semistress,14deg_plot_1101_0000,-6.050235752,4.803987455
semistress,14deg_plot_1101_0001,-7.799957204,6.283147043
semistress,14deg_plot_1101_0002,-7.899807934,6.205275397
semistress,14deg_plot_1101_0003,-8.544743828,6.084414096
semistress,14deg_plot_1101_0004,-7.983231858,5.947177871
semistress,14deg_plot_1102_0000,-6.714737678,5.84696213
semistress,14deg_plot_1102_0001,-6.46809209,7.126259693
semistress,14deg_plot_1102_0002,-7.849250841,6.150194556
semistress,14deg_plot_1102_0003,-7.661881016,4.738541838
semistress,14deg_plot_1103_0000 (2),-8.192713196,7.700936354
semistress,14deg_plot_1103_0000,-8.420518514,6.223302082
semistress,14deg_plot_1103_0001 (2),-7.454433134,6.096216349
semistress,14deg_plot_1103_0001,-7.994965855,6.618479428
semistress,14deg_plot_1103_0002 (2),-8.160816753,4.583286988
semistress,14deg_plot_1103_0002,-8.586945712,6.29942623
semistress,14deg_plot_1103_0003 (2),-8.395766269,7.386752994
semistress,14deg_plot_1103_0003,-7.981768907,6.889025942
semistress,14deg_plot_1103_0004 (2),-8.47212653,7.037041364
semistress,14deg_plot_1103_0004,-8.596606486,5.996686395
semistress,14deg_plot_1104_0000,-7.367473312,6.817851652
semistress,14deg_plot_1104_0001,-9.028974529,6.488880492
semistress,14deg_plot_1104_0002,-8.967566313,5.816064227
semistress,14deg_plot_1104_0003,-6.975652174,7.257403232
semistress,14deg_plot_1104_0004,-9.673708698,6.519858032
semistress,14deg_plot_1105_0000,-8.542601848,5.724540137
semistress,14deg_plot_1105_0001,-8.633888924,7.537674305
semistress,14deg_plot_1105_0002,-9.617167288,5.526096192
semistress,14deg_plot_1105_0003,-9.488976447,3.983036184
semistress,14deg_plot_1105_0004,-7.566284746,4.571500743
semistress,14deg_plot_1106_0000,-8.929906087,4.31209943
semistress,14deg_plot_1106_0001,-8.693132923,4.471306619
semistress,14deg_plot_1106_0002,-7.452124877,5.422241026
semistress,14deg_plot_1106_0003,-10.91027772,7.120233307
semistress,14deg_plot_1106_0004,-9.719873878,7.067053547
semistress,14deg_plot_1107_0000,-7.084544853,5.507206081
semistress,14deg_plot_1107_0001,-8.851143759,5.197968405
semistress,14deg_plot_1107_0002,-6.871602262,4.914047101
semistress,14deg_plot_1107_0003,-8.10029362,7.645026313
semistress,14deg_plot_1107_0004,-6.806954596,6.40900754
semistress,14deg_plot_1108_0000 (2),-7.802636308,6.269467612
semistress,14deg_plot_1108_0000,-8.699228084,6.859932989
semistress,14deg_plot_1108_0001 (2),-7.437331986,5.818529434
semistress,14deg_plot_1108_0001,-8.664371457,5.663633436
semistress,14deg_plot_1108_0002 (2),-7.576446428,6.731900074
semistress,14deg_plot_1108_0002,-4.786591632,8.455461733
semistress,14deg_plot_1108_0003 (2),-6.448462322,4.506125867
semistress,14deg_plot_1108_0003,-7.929687196,6.86597799
semistress,14deg_plot_1108_0004 (2),-7.593472385,6.238979745
semistress,14deg_plot_1108_0004,-8.45742209,7.580658957
semistress,14deg_plot_1109_0000,-8.510851412,6.575277354
semistress,14deg_plot_1109_0001,-9.121443391,6.14817079
semistress,14deg_plot_1109_0002,-7.707474336,6.175527071
semistress,14deg_plot_1109_0003,-6.486163724,4.868971987
semistress,14deg_plot_1109_0004,-7.647171622,5.461857014
semistress,14deg_plot_1110_0000,-8.315806594,6.973561993
semistress,14deg_plot_1110_0001,-8.571714455,6.179717032
semistress,14deg_plot_1110_0002,-7.968426177,6.429491324
semistress,14deg_plot_1110_0003,-8.103235606,6.549318685
semistress,14deg_plot_1110_0004,-8.120840828,6.360338124
semistress,14deg_plot_1110_0005,-8.75972673,6.239156869
semistress,14deg_plot_1110_0006,-9.346764688,6.482446463
semistress,14deg_plot_1110_0007,-7.399348636,7.737097978
semistress,14deg_plot_1207_0000,-8.819878693,6.757937717
