spectrumname,LD1,LD2
1101_mean,2.801660409,3.575370717
1102_mean,2.271829457,2.557253234
1103_mean,1.685006635,1.77208047
1104_mean,3.009594125,2.362864278
1105_mean,2.642366887,2.994515886
1106_mean,2.772791197,1.622744091
1107_mean,2.00852608,1.66524962
1108_mean,1.782752872,-0.394725645
1109_mean,2.390655612,3.868905322
1110_mean,2.461973152,3.54884264
1207_mean,1.143336678,1.872666574
1208_mean,2.200703927,1.53035534
1210_mean,2.50008723,1.930338981
1304_mean,0.003996346,0.067657931
1305_mean,-2.230149571,-0.733028353
1310_mean,-2.458952646,-0.448749863
1401_mean,-3.30163114,1.133860031
1402_mean,-3.685301286,-0.819423261
1403_mean,-2.780167973,-1.504692296
1404_mean,-2.765510469,-0.465985722
1405_mean,-3.991878142,-0.491913522
1406_mean,-2.827480571,0.109183629
1407_mean,-3.028756252,-0.33741922
1408_mean,-2.688155998,-0.163952148
1409_mean,-2.642533129,0.538777065
1410_mean,-2.804919356,-0.295695487
1501_mean,-1.532763637,0.0966187
1502_mean,-2.408118015,0.300049043
1503_mean,-1.539174896,0.54385568
1504_mean,-2.207091787,-0.50102034
1505_mean,-2.471074056,0.174019042
1506_mean,-0.923591557,-0.927395915
1507_mean,-2.464324482,1.444299866
1508_mean,-3.189661318,0.195093667
1510_mean,-1.761436509,-0.166160279
1601_mean,-1.508866397,-0.273991836
1602_mean,-2.375527388,-0.56274041
1603_mean,-3.108605857,-0.085164907
1604_mean,-2.832015544,-0.594318136
1605_mean,-2.406816536,-2.115344373
1606_mean,-0.828795609,-0.549984203
1607_mean,-3.949512806,-0.177248754
1608_mean,-2.674785561,0.128875693
1609_mean,-2.232279209,-0.217321345
1610_mean,-3.462458886,-1.351031906
1701_mean,3.256193799,-2.343060328
1702_mean,4.888488392,-2.204095773
1703_mean,4.092067657,-0.730412724
1704_mean,2.041714081,1.874861003
1705_mean,6.174493963,-1.737712022
1706_mean,1.885654056,-2.873223372
1707_mean,3.055711145,-1.859068071
1708_mean,4.773529845,-2.71160179
1709_mean,3.161029118,-2.227230615
1710_mean,3.607131303,-2.493858354
1807_mean,6.384505054,-0.075469119
1810_mean,6.086537563,-3.475298418
