spectrumname,class,NDWI,WI,WBI,MSI,NMDI,QY_max,NPQ_L7,YieldT,PC1,PC2
1103_mean,control,-0.000501473,1.027716352,0.993618246,1.00791321,0.327859819,0.777039363,3.038425894,223.95,-10.78392271,-5.710470286
1108_mean,control,0.012667555,1.033159875,0.989560833,0.981162782,0.255303251,0.820190084,2.907739408,214.3,-41.38127038,-3.619852554
1207_mean,control,0.035134099,1.036039552,1.000811841,0.93563912,0.218922977,0.821064139,3.44926551,257.17,-34.35255053,18.05541287
1208_mean,control,-0.036966266,0.994423999,0.98248416,1.086001539,0.424217477,0.816249533,3.216419967,183.29,-12.7321401,-22.56207089
1210_mean,control,-0.010754458,1.01752311,1.008931175,1.028246307,0.309809207,0.807918942,3.032539512,187.23,-18.92956392,-6.626845851
1304_mean,drought,-0.006042569,1.014234768,1.003476871,1.017823256,0.319807941,0.791582654,3.639917709,98.47,-32.85126563,-11.61455999
1305_mean,drought,-0.07558038,0.972803259,0.975864688,1.173722885,0.656073523,0.682149067,2.934970162,87.61,31.32560703,-38.19832506
1310_mean,drought,-0.036732403,1.001662053,0.998956959,1.084430012,0.348329011,0.779624992,3.530036006,110.35,70.4455759,20.22235992
1402_mean,drought,-0.023513422,1.001018407,0.982238594,1.055083695,0.424687656,0.6640471,2.340966432,119.93,-30.32785044,-31.59904854
1405_mean,drought,-0.045751025,0.994074983,0.979515199,1.104726722,0.442952016,0.706961461,3.357831811,97.01,12.93201732,-20.37308559
1409_mean,drought,-0.024845513,1.008630859,0.984576384,1.062718284,0.336399583,0.71916198,3.279439066,114.86,27.15496924,-1.96176407
1502_mean,drought,-0.01368203,1.015048876,0.982626417,1.036848872,0.366344339,0.74069945,2.665629685,122.36,-8.775570256,-12.5982458
1504_mean,drought,-0.02835995,1.008361086,0.981729378,1.067200758,0.295355395,0.775435915,3.68207348,123.36,41.35085692,16.39370353
1508_mean,drought,-0.012248598,1.015381801,0.991759572,1.031917607,0.33757067,0.823719403,3.276469792,99.2,31.75144942,9.718782816
1601_mean,drought,0.007111761,1.029456516,0.992173931,0.994575874,0.286513905,0.83174521,3.075994729,134.21,-40.79682594,-13.18517859
1602_mean,drought,-0.043516946,0.996501177,0.980690334,1.100573251,0.298369994,0.828152246,4.129128295,136.5,39.48061543,14.06956505
1606_mean,drought,0.003181008,1.031598999,1.002902658,1.000994057,0.259063155,0.810480116,4.021116403,147.71,26.07509072,30.21664916
1701_mean,control,-0.00415077,1.03167399,0.99927708,1.017853148,0.284132581,0.817445402,3.327400094,237.77,-25.31229507,-0.647126041
1704_mean,control,0.036168939,1.048338231,1.000475191,0.936102489,0.228146199,0.839354105,3.141886471,250.86,-36.77801929,14.18552498
1706_mean,control,-0.011816846,1.023175433,1.001695296,1.034869476,0.292573822,0.820831807,2.748029066,215.87,-7.606591509,6.901451468
1707_mean,control,0.035867726,1.047979022,1.003083928,0.938185626,0.211206458,0.823900729,2.960084184,277.35,-26.75384476,26.644832
1807_mean,control,0.017577965,1.025139115,1.0012889,0.971728792,0.249363797,0.812084041,3.259497309,167.65,-62.34600501,-9.43821177
1810_mean,control,0.073468275,1.069981124,1.006995341,0.865547086,0.188056811,0.834583764,2.343059502,307.25,-46.09886235,29.61998061
