spectrum_name,soil_fraction
14deg_plot_11_01_0000,0.383054943
14deg_plot_11_01_0001,0.277824496
14deg_plot_11_01_0002,0.228021993
14deg_plot_11_01_0003,0.224892389
14deg_plot_11_01_0004,0.097258425
14deg_plot_11_02_0000,0
14deg_plot_11_02_0001,0
14deg_plot_11_02_0002,0
14deg_plot_11_02_0003,0
14deg_plot_11_03_0000 (2),0.100545629
14deg_plot_11_03_0000,0.350123163
14deg_plot_11_03_0001 (2),0.056935121
14deg_plot_11_03_0001,0.397352868
14deg_plot_11_03_0002 (2),0.065017109
14deg_plot_11_03_0002,0.257086975
14deg_plot_11_03_0003 (2),0.146549255
14deg_plot_11_03_0003,0.279328677
14deg_plot_11_03_0004 (2),0.25676873
14deg_plot_11_03_0004,0.400781526
14deg_plot_11_04_0000,0.395758676
14deg_plot_11_04_0001,0.400151811
14deg_plot_11_04_0002,0.193222289
14deg_plot_11_04_0003,0.460679399
14deg_plot_11_04_0004,0.379509616
14deg_plot_11_05_0000,0.101755818
14deg_plot_11_05_0001,0.283984966
14deg_plot_11_05_0002,0
14deg_plot_11_05_0003,0.162309171
14deg_plot_11_05_0004,0.193855372
14deg_plot_11_06_0000,0.218694828
14deg_plot_11_06_0001,0
14deg_plot_11_06_0002,0
14deg_plot_11_06_0003,0
14deg_plot_11_06_0004,0
14deg_plot_11_07_0000,0
14deg_plot_11_07_0001,0
14deg_plot_11_07_0002,0.054797749
14deg_plot_11_07_0003,0
14deg_plot_11_07_0004,0
14deg_plot_11_08_0000 (2),0
14deg_plot_11_08_0000,0.24869604
14deg_plot_11_08_0001 (2),0
14deg_plot_11_08_0001,0.140003145
14deg_plot_11_08_0002 (2),0
14deg_plot_11_08_0002,0.199377066
14deg_plot_11_08_0003 (2),0
14deg_plot_11_08_0003,0.081172422
14deg_plot_11_08_0004 (2),0
14deg_plot_11_08_0004,0.105847306
14deg_plot_11_09_0000,0
14deg_plot_11_09_0001,0
14deg_plot_11_09_0002,0
14deg_plot_11_09_0003,0
14deg_plot_11_09_0004,0
14deg_plot_11_10_0000,0
14deg_plot_11_10_0001,0
14deg_plot_11_10_0002,0
14deg_plot_11_10_0003,0
14deg_plot_11_10_0004,0
14deg_plot_11_10_0005,0
14deg_plot_11_10_0006,0
14deg_plot_11_10_0007,0
14deg_plot_12_07_0000,0
14deg_plot_12_07_0001,0
14deg_plot_12_07_0002,0
14deg_plot_12_07_0003,0
14deg_plot_12_07_0004,0
14deg_plot_12_08_0000,0.280229457
14deg_plot_12_08_0001,0.599066293
14deg_plot_12_08_0002,0.604978091
14deg_plot_12_08_0003,0.361531067
14deg_plot_12_08_0004,0.712490334
14deg_plot_12_10_0000,0.437223221
14deg_plot_12_10_0001,0.172481631
14deg_plot_12_10_0002,0.190876804
14deg_plot_12_10_0003,0.324976866
14deg_plot_12_10_0004,0.124579354
14deg_plot_13_04_0000,0.296466988
14deg_plot_13_04_0001,0.361065835
14deg_plot_13_04_0002,0.007609288
14deg_plot_13_04_0003,0.18765409
14deg_plot_13_04_0004,0.155410296
14deg_plot_13_05_0000,0.825976671
14deg_plot_13_05_0001,0.958748128
14deg_plot_13_05_0002,0.76715959
14deg_plot_13_05_0003,0.864144197
14deg_plot_13_05_0004,0.695683844
14deg_plot_13_10_0000,0.241608764
14deg_plot_13_10_0001,0.604363765
14deg_plot_13_10_0002,0.314393119
14deg_plot_13_10_0003,0.163459815
14deg_plot_13_10_0004,0.525469818
14deg_plot_14_01_0000,0.33604097
14deg_plot_14_01_0001,0.323855631
14deg_plot_14_01_0002,0.28408697
14deg_plot_14_01_0003,0.315250779
14deg_plot_14_01_0004,0.481751105
14deg_plot_14_02_0000 (2),0.3566357
14deg_plot_14_02_0000,0.63907334
14deg_plot_14_02_0001 (2),0.20567274
14deg_plot_14_02_0001,0.391893308
14deg_plot_14_02_0002 (2),0.39560707
14deg_plot_14_02_0002,0.656804003
14deg_plot_14_02_0003 (2),0.352273114
14deg_plot_14_02_0003,0.740790515
14deg_plot_14_02_0004 (2),0.38366144
14deg_plot_14_02_0004,0.623492999
14deg_plot_14_02_0005 (2),0.252839531
14deg_plot_14_02_0005,0.521883912
14deg_plot_14_03_0000,0.543865512
14deg_plot_14_03_0001,0.385313208
14deg_plot_14_03_0002,0.490591125
14deg_plot_14_03_0003,0.615036
14deg_plot_14_03_0004,0.473762973
14deg_plot_14_04_0000,0.045885987
14deg_plot_14_04_0001,0
14deg_plot_14_04_0002,0.169533579
14deg_plot_14_04_0003,0.133388918
14deg_plot_14_04_0004,0.201496224
14deg_plot_14_05_0000 (2),0.494811839
14deg_plot_14_05_0000,0.699261233
14deg_plot_14_05_0001 (2),0.400008284
14deg_plot_14_05_0001,0.633903175
14deg_plot_14_05_0002 (2),0.451261885
14deg_plot_14_05_0002,0.619437759
14deg_plot_14_05_0003 (2),0.424523484
14deg_plot_14_05_0003,0.605256308
14deg_plot_14_05_0004 (2),0.478302394
14deg_plot_14_05_0004,0.691490051
14deg_plot_14_06_0000,0.353262955
14deg_plot_14_06_0001,0.356373918
14deg_plot_14_06_0002,0.416793192
14deg_plot_14_06_0003,0.416120625
14deg_plot_14_06_0004,0.339915771
14deg_plot_14_07_0000,0.609025969
14deg_plot_14_07_0001,0.654312234
14deg_plot_14_07_0002,0.521425457
14deg_plot_14_07_0003,0.577505921
14deg_plot_14_07_0004,0.894818818
14deg_plot_14_08_0000,0.538024582
14deg_plot_14_08_0001,0.272916265
14deg_plot_14_08_0002,0.437678043
14deg_plot_14_08_0003,0.445201523
14deg_plot_14_08_0004,0.242433483
14deg_plot_14_09_0000 (2),0
14deg_plot_14_09_0000,0.716961849
14deg_plot_14_09_0001 (2),0
14deg_plot_14_09_0001,0.682457788
14deg_plot_14_09_0002 (2),0
14deg_plot_14_09_0002,0.709485887
14deg_plot_14_09_0003 (2),0.013880964
14deg_plot_14_09_0003,0.532939619
14deg_plot_14_09_0004 (2),0.058833615
14deg_plot_14_09_0004,0.295358761
14deg_plot_14_10_0000,0.478943517
14deg_plot_14_10_0001,0.410662897
14deg_plot_14_10_0002,0.521673151
14deg_plot_14_10_0003,0.391632927
14deg_plot_14_10_0004,0.408802672
14deg_plot_15_01_0000,0.421313622
14deg_plot_15_01_0001,0.547866928
14deg_plot_15_01_0002,0.620526084
14deg_plot_15_01_0003,0.463709715
14deg_plot_15_01_0004,0.282496962
14deg_plot_15_02_0000 (2),0.25583789
14deg_plot_15_02_0000,0.634168844
14deg_plot_15_02_0001 (2),0.436087341
14deg_plot_15_02_0001,0.196722446
14deg_plot_15_02_0002 (2),0.620910099
14deg_plot_15_02_0002,0
14deg_plot_15_02_0003 (2),0.279292669
14deg_plot_15_02_0003,0.229219278
14deg_plot_15_02_0004 (2),0.150383923
14deg_plot_15_02_0004,0.844040183
14deg_plot_15_02_0005 (2),0.190305725
14deg_plot_15_02_0005,0.117682858
14deg_plot_15_03_0000,0.343214439
14deg_plot_15_03_0001,0.377134093
14deg_plot_15_03_0002,0.345827549
14deg_plot_15_03_0003,0.362407122
14deg_plot_15_03_0004,0.390932206
14deg_plot_15_04_0000 (2),0.29213508
14deg_plot_15_04_0000,0.441949233
14deg_plot_15_04_0001 (2),0.192619442
14deg_plot_15_04_0001,0.388628905
14deg_plot_15_04_0002 (2),0.158358109
14deg_plot_15_04_0002,0.08511741
14deg_plot_15_04_0003 (2),0.264240715
14deg_plot_15_04_0003,0.259292015
14deg_plot_15_04_0004 (2),0.192536559
14deg_plot_15_04_0004,0.111802049
14deg_plot_15_05_0000,0.271527806
14deg_plot_15_05_0001,0.201624878
14deg_plot_15_05_0002,0.182942481
14deg_plot_15_05_0003,0.167862539
14deg_plot_15_05_0004,0.347474334
14deg_plot_15_06_0000,0.246574847
14deg_plot_15_06_0001,0.401646436
14deg_plot_15_06_0002,0.249101085
14deg_plot_15_06_0003,0.245691454
14deg_plot_15_06_0004,0.23628939
14deg_plot_15_07_0000,0.503447903
14deg_plot_15_07_0001,0.490231939
14deg_plot_15_07_0002,0.739502908
14deg_plot_15_07_0003,0.652145624
14deg_plot_15_07_0004,0.614295629
14deg_plot_15_07_0005,0.340800865
14deg_plot_15_07_0006,0.52757752
14deg_plot_15_07_0007,0.468314671
14deg_plot_15_07_0008,0.471703671
14deg_plot_15_08_0000 (2),0.33429862
14deg_plot_15_08_0000,0.213595374
14deg_plot_15_08_0001 (2),0.201030768
14deg_plot_15_08_0001,0.150542543
14deg_plot_15_08_0002 (2),0.400488125
14deg_plot_15_08_0002,0.344583571
14deg_plot_15_08_0003 (2),0.275629838
14deg_plot_15_08_0003,0.409105169
14deg_plot_15_08_0004 (2),0.164905979
14deg_plot_15_08_0004,0.216217048
14deg_plot_15_10_0000,0.361699821
14deg_plot_15_10_0001,0.383349723
14deg_plot_15_10_0002,0.396031548
14deg_plot_15_10_0003,0.386018411
14deg_plot_15_10_0004,0.306849683
14deg_plot_16_01_0000 (2),0.115433059
14deg_plot_16_01_0000,0
14deg_plot_16_01_0001 (2),0.424412052
14deg_plot_16_01_0001,0
14deg_plot_16_01_0002 (2),0.353534893
14deg_plot_16_01_0002,0.20234873
14deg_plot_16_01_0003 (2),0.091771089
14deg_plot_16_01_0003,0.093817922
14deg_plot_16_01_0004 (2),0.090974959
14deg_plot_16_01_0004,0
14deg_plot_16_02_0000 (2),0.207526273
14deg_plot_16_02_0000,0
14deg_plot_16_02_0001 (2),0.267787218
14deg_plot_16_02_0001,0.414079219
14deg_plot_16_02_0002 (2),0.337530835
14deg_plot_16_02_0002,0.30639698
14deg_plot_16_02_0003 (2),0.371138384
14deg_plot_16_02_0003,0.481243487
14deg_plot_16_02_0004 (2),0.245087899
14deg_plot_16_02_0004,0.428647258
14deg_plot_16_03_0000,0.963831446
14deg_plot_16_03_0001,1
14deg_plot_16_03_0002,1
14deg_plot_16_03_0003,1
14deg_plot_16_03_0004,1
14deg_plot_16_04_0000,0.279362355
14deg_plot_16_04_0001,0.498023784
14deg_plot_16_04_0002,0.350307384
14deg_plot_16_04_0003,0.437296742
14deg_plot_16_04_0004,0.369699983
14deg_plot_16_05_0000,0.23512071
14deg_plot_16_05_0001,0.463426584
14deg_plot_16_05_0002,0.395851467
14deg_plot_16_05_0003,0.360699643
14deg_plot_16_05_0004,0.541199837
14deg_plot_16_06_0000 (2),0.183503769
14deg_plot_16_06_0000,0
14deg_plot_16_06_0001 (2),0.036054427
14deg_plot_16_06_0001,0
14deg_plot_16_06_0002 (2),0.054010165
14deg_plot_16_06_0002,0
14deg_plot_16_06_0003 (2),0
14deg_plot_16_06_0003,0
14deg_plot_16_06_0004 (2),0
14deg_plot_16_06_0004,0.062231211
14deg_plot_16_07_0000,0.872351376
14deg_plot_16_07_0001,0.64119257
14deg_plot_16_07_0002,0.627306597
14deg_plot_16_07_0003,0.837790669
14deg_plot_16_07_0004,0.674920688
14deg_plot_16_08_0000,0.712316549
14deg_plot_16_08_0001,0.564428992
14deg_plot_16_08_0002,0.534769397
14deg_plot_16_08_0003,0.621012478
14deg_plot_16_08_0004,0.676499495
14deg_plot_16_09_0000,0.357406182
14deg_plot_16_09_0001,0.277842071
14deg_plot_16_09_0002,0.416974286
14deg_plot_16_09_0003,0.517915448
14deg_plot_16_09_0004,0.487439897
14deg_plot_16_10_0000,0.303877559
14deg_plot_16_10_0001,0.351228848
14deg_plot_16_10_0002,0.3262744
14deg_plot_16_10_0003,0.345827255
14deg_plot_16_10_0004,0.406871601
14deg_plot_17_01_0000 (2),0
14deg_plot_17_01_0000,0.365623534
14deg_plot_17_01_0001 (2),0
14deg_plot_17_01_0001,0.397203706
14deg_plot_17_01_0002 (2),0
14deg_plot_17_01_0002,0.333132933
14deg_plot_17_01_0003 (2),0
14deg_plot_17_01_0003,0.241276953
14deg_plot_17_01_0004 (2),0
14deg_plot_17_01_0004,0.211834732
14deg_plot_17_02_0000,0.162902537
14deg_plot_17_02_0001,0.448255984
14deg_plot_17_02_0002,0.427576084
14deg_plot_17_02_0003,0.326904703
14deg_plot_17_02_0004,0.223666523
14deg_plot_17_03_0000,0.003294302
14deg_plot_17_03_0001,0.162711475
14deg_plot_17_03_0002,0
14deg_plot_17_03_0003,0
14deg_plot_17_03_0004,0
14deg_plot_17_04_0000 (2),0
14deg_plot_17_04_0000,0
14deg_plot_17_04_0001 (2),0
14deg_plot_17_04_0001,0
14deg_plot_17_04_0002 (2),0
14deg_plot_17_04_0002,0
14deg_plot_17_04_0003 (2),0
14deg_plot_17_04_0003,0.002136944
14deg_plot_17_04_0004 (2),0
14deg_plot_17_04_0004,0
14deg_plot_17_05_0000,0
14deg_plot_17_05_0001,0
14deg_plot_17_05_0002,0
14deg_plot_17_05_0003,0
14deg_plot_17_05_0004,0
14deg_plot_17_06_0000 (2),0
14deg_plot_17_06_0000,0.376025135
14deg_plot_17_06_0001 (2),0
14deg_plot_17_06_0001,0.388815086
14deg_plot_17_06_0002 (2),0
14deg_plot_17_06_0002,0.562466772
14deg_plot_17_06_0003 (2),0
14deg_plot_17_06_0003,0.456201633
14deg_plot_17_06_0004 (2),0
14deg_plot_17_06_0004,0.615480761
14deg_plot_17_06_0005,0.252627854
14deg_plot_17_07_0000 (2),0
14deg_plot_17_07_0000,0
14deg_plot_17_07_0001 (2),0
14deg_plot_17_07_0001,0
14deg_plot_17_07_0002 (2),0
14deg_plot_17_07_0002,0.001917785
14deg_plot_17_07_0003 (2),0
14deg_plot_17_07_0003,0
14deg_plot_17_07_0004 (2),0
